Order Date,Ship Date,QB Num,P. O. #,Name,Qty(-),Qty(+),Item,Inventory Site,Remark
2025/05/05,2025/11/19,POD-250648,SO-20250640,Neousys Technology Incorp.,0,10,Cbl-M12S4F-OW4-180CM1,WH01S-NTA,SO25050035
2025/05/05,2025/12/17,POD-250649,SO-20250641,Neousys Technology Incorp.,0,10,Cbl-M12S4F-OW4-180CM1,WH01S-NTA,SO25050036
2025/05/05,2026/1/14,POD-250650,SO-20250642,Neousys Technology Incorp.,0,10,Cbl-M12S4F-OW4-180CM1,WH01S-NTA,SO25050037
2025/07/25,2025/10/22,POD-251059,SO-20251032,Neousys Technology Incorp.,0,25,Cbl-DB9F-3DB9M-15CM2,WH01S-NTA,SO25070419
2025/07/25,2025/11/19,POD-251060,,Neousys Technology Incorp.,0,25,Cbl-DB9F-3DB9M-15CM2,WH01S-NTA,SO25070420
2025/07/25,2025/12/24,POD-251062,SO-20251044,Neousys Technology Incorp.,0,5,TB-10,WH01S-NTA,SO25070496
2025/07/25,2025/12/24,POD-251062,SO-20251044,Neousys Technology Incorp.,0,5,Cbl-S68M-S68M-100CM,WH01S-NTA,SO25070496
2025/07/31,2025/10/8,POD-251094,SO-20251053,Neousys Technology Incorp.,0,1,Cblkit-NRU-162S-AWP,WH01S-NTA,SO25070534
2025/08/06,2025/10/8,POD-251122,SO-20251113,Neousys Technology Incorp.,0,10,Cblkit-BP-NRU-230V-AWP,WH01S-NTA,SO25080092
2025/08/06,2025/10/16,POD-251123,SO-20251113,Neousys Technology Incorp.,0,15,Cblkit-BP-NRU-230V-AWP,WH01S-NTA,SO25080093
2025/08/08,2025/10/8,POD-251139,SO-20251126,Neousys Technology Incorp.,0,2,Cblkit-BP-NRU-230V-AWP,WH01S-NTA,SO25080148
2025/08/14,2025/10/8,POD-251157,SO-20251145,Neousys Technology Incorp.,0,1,Cblkit-M12-SEMIL2000,WH01S-NTA,SO25080222
2025/08/14,2025/10/8,POD-251157,SO-20251145,Neousys Technology Incorp.,0,2,Cbl-M12A8M-DB9M-180CM,WH01S-NTA,SO25080222
2025/08/14,2025/10/8,POD-251157,SO-20251145,Neousys Technology Incorp.,0,1,Cbl-M12A8M-DB9F-180CM,WH01S-NTA,SO25080222
2025/08/15,2025/10/16,POD-251164,SO-20251167,Neousys Technology Incorp.,0,2,Ant-RP_SMAM-WiFi-196MM1,WH01S-NTA,SO25080244
2025/08/18,2025/10/16,POD-251172,,Neousys Technology Incorp.,0,5,E-2278GE,WH01S-NTA,SO25080256
2025/08/19,2025/10/8,POD-251180,SO-20251175,Neousys Technology Incorp.,0,40,Ant-RP_SMAM-WiFi-196MM1,WH01S-NTA,SO25080290
2025/08/19,2025/10/8,POD-251180,SO-20251175,Neousys Technology Incorp.,0,40,Ant-SMAM-LTE,WH01S-NTA,SO25080290
2025/08/19,2025/10/16,POD-251181,SO-20251176,Neousys Technology Incorp.,0,40,Ant-RP_SMAM-WiFi-196MM1,WH01S-NTA,SO25080291
2025/08/19,2025/10/16,POD-251181,SO-20251176,Neousys Technology Incorp.,0,40,Ant-SMAM-LTE,WH01S-NTA,SO25080291
2025/08/19,2025/10/16,POD-251182,SO-20251177,Neousys Technology Incorp.,0,40,Ant-RP_SMAM-WiFi-196MM1,WH01S-NTA,SO25080292
2025/08/19,2025/10/16,POD-251182,SO-20251177,Neousys Technology Incorp.,0,40,Ant-SMAM-LTE,WH01S-NTA,SO25080292
2025/08/19,2025/11/5,POD-251183,SO-20251178,Neousys Technology Incorp.,0,50,Ant-RP_SMAM-WiFi-196MM1,WH01S-NTA,SO25080293
2025/08/19,2025/11/5,POD-251183,SO-20251178,Neousys Technology Incorp.,0,50,Ant-SMAM-LTE,WH01S-NTA,SO25080293
2025/08/19,2025/11/5,POD-251184,SO-20251179,Neousys Technology Incorp.,0,40,Ant-RP_SMAM-WiFi-196MM1,WH01S-NTA,SO25080294
2025/08/19,2025/11/5,POD-251184,SO-20251179,Neousys Technology Incorp.,0,40,Ant-SMAM-LTE,WH01S-NTA,SO25080294
2025/08/21,2025/10/8,POD-251191,SO-20251174,,0,2,Cblkit-M12-SEMIL2000,WH01S-NTA,SO25080339
