Order Date,Ship Date,QB Num,P. O. #,Name,Qty(-),Qty(+),Item,Inventory Site,Remark
2025/08/28,2026/4/1,POD-251229,SO-20251228,Neousys Technology Incorp.,0,3.0,SSD-2TB-TLC5WT-TD,WH02D-NTA,SO25090115
2025/08/28,2026/4/1,POD-251229,SO-20251228,Neousys Technology Incorp.,0,3.0,SEMIL-1708,WH02D-NTA,SO25090115
2025/08/28,2026/4/1,POD-251229,SO-20251228,Neousys Technology Incorp.,0,3.0,M.280-SSD-2TB-PCIe44-TLC5WT-TD,WH02D-NTA,SO25090115
2025/08/28,2026/4/1,POD-251229,SO-20251228,Neousys Technology Incorp.,0,3.0,E-2278GE,WH02D-NTA,SO25090115
2025/08/28,2026/4/1,POD-251229,SO-20251228,Neousys Technology Incorp.,0,2.0,DDR4-32GB-ECC32WT-TD,WH02D-NTA,SO25090115
2025/08/28,2026/4/1,POD-251229,SO-20251228,Neousys Technology Incorp.,0,2.0,DDR4-32GB-ECC32WT-SP,WH02D-NTA,SO25090115
2025/08/28,2026/4/1,POD-251229,SO-20251228,Neousys Technology Incorp.,0,2.0,DDR4-32GB-ECC32WT-SM,WH02D-NTA,SO25090115
2025/08/28,2026/4/1,POD-251229,SO-20251228,Neousys Technology Incorp.,0,2.0,DDR4-32GB-ECC32WT-IK,WH02D-NTA,SO25090115
2025/08/28,2026/4/1,POD-251229,SO-20251228,Neousys Technology Incorp.,0,6.0,DDR4-32GB-ECC26WT-DL,WH02D-NTA,SO25090115
2025/08/28,2026/4/1,POD-251229,SO-20251228,Neousys Technology Incorp.,0,24.0,Cbl-M12X8M-RJ45-CAT6A-500CM,WH02D-NTA,SO25090115
2025/08/28,2026/4/1,POD-251229,SO-20251228,Neousys Technology Incorp.,0,3.0,Cbl-M12S4F-CordEnd4-180CM,WH02D-NTA,SO25090115
2025/08/28,2026/4/1,POD-251229,SO-20251228,Neousys Technology Incorp.,0,6.0,Cbl-M12A8M-2U2TA-180CM2,WH02D-NTA,SO25090115
2025/07/25,2026/2/4,POD-251060,,Neousys Technology Incorp.,0,25.0,mSATAHS-64GB-MLCWT-IK,WH01S-NTA,SO25070420
2025/07/25,2026/1/7,POD-251059,SO-20251032,Neousys Technology Incorp.,0,25.0,mSATAHS-64GB-MLCWT-IK,WH01S-NTA,SO25070419
2025/07/22,2026/02/27,SO-20251032,16134,Automated Environments,25.0,0,mSATAHS-64GB-MLCWT-IK,WH01S-NTA,
2025/07/22,2026/01/30,SO-20251031,16134,Automated Environments,25.0,0,mSATAHS-64GB-MLCWT-IK,WH01S-NTA,
2025/07/22,2025/11/21,SO-20251030,16134,Automated Environments,25.0,0,mSATAHS-64GB-MLCWT-IK,WH01S-NTA,
2025/08/26,2025/10/8,POD-251217,SO-20251205,Neousys Technology Incorp.,0,6.0,mSATA-512GB-TLCWT-IK,WH01S-NTA,SO25080417
2025/03/05,2026/08/25,SO-20250331,PO208679,Noah Medical U.S.,5.0,0,mPCIeHS-WiFi-121N,WH01S-NTA,
2025/03/05,2026/06/24,SO-20250330,PO208679,Noah Medical U.S.,5.0,0,mPCIeHS-WiFi-121N,WH01S-NTA,
2025/03/05,2026/04/24,SO-20250329,PO208679,Noah Medical U.S.,3.0,0,mPCIeHS-WiFi-121N,WH01S-NTA,
2025/03/05,2026/04/24,SO-20250329,PO208679,Noah Medical U.S.,2.0,0,mPCIeHS-WiFi-121N,WH01S-NTA,
2025/03/05,2026/02/20,SO-20250328,PO208679,Noah Medical U.S.,5.0,0,mPCIeHS-WiFi-121N,WH01S-NTA,
2025/10/03,2025/12/31,SO-20251421,PO209761,Noah Medical U.S.,2.0,0,mPCIeHS-WiFi-121N,WH01S-NTA,
2025/10/03,2025/12/31,SO-20251422,PO209761,Noah Medical U.S.,4.0,0,mPCIeHS-WiFi-121N,WH01S-NTA,
2025/10/03,2025/12/31,SO-20251423,PO209761,Noah Medical U.S.,4.0,0,mPCIeHS-WiFi-121N,WH01S-NTA,
2025/10/09,2025/12/31,SO-20251444,1829,"Alta Vision Systems, LLC",2.0,0,mPCIeHS-WiFi-121N,WH01S-NTA,
2025/10/13,2025/12/31,SO-20251459,1792-58-1,"LM3 Technologies, Inc.",1.0,0,mPCIeHS-WiFi-121N,WH01S-NTA,
2025/03/05,2025/12/26,SO-20250327,PO208679,Noah Medical U.S.,5.0,0,mPCIeHS-WiFi-121N,WH01S-NTA,
2025/03/05,2025/12/26,SO-20250332,PO208679,Noah Medical U.S.,1.0,0,mPCIeHS-WiFi-121N,WH01S-NTA,
2025/03/05,2025/10/24,SO-20250326,PO208679,Noah Medical U.S.,5.0,0,mPCIeHS-WiFi-121N,WH01S-NTA,
2025/09/12,2025/10/24,SO-20251306,PO-036318,ADVANCED TECH & RESEARCH,3.0,0,mPCIeHS-WiFi-121N,WH01S-NTA,
2025/10/09,2025/12/31,SO-20251448,09102025-1,"PitPro Automation, Inc.",4.0,0,mPCIeHS-BTWifi-WT-6218,WH01S-NTA,
2025/10/09,2025/12/31,SO-20251447,09102025-1,"PitPro Automation, Inc.",2.0,0,mPCIeHS-BTWifi-WT-6218,WH01S-NTA,
2025/08/29,2025/12/24,POD-251244,,Neousys Technology Incorp.,0,2.0,mPCIeHS-BTWifi-WT-6218,WH01S-NTA,SO25080505
2025/09/26,2025/11/21,SO-20251366,PO070225,"FireFly Automatix, Inc.",6.0,0,mPCIeHS-BTWifi-WT-6218,WH01S-NTA,
2025/09/30,2025/10/31,SO-20251391,QTD_IES_2508263,Intelligent Energy Systems,2.0,0,mPCIeHS-BTWifi-WT-6218,WH01S-NTA,
2025/09/30,2025/10/31,SO-20251400,4017695,F.K. MACHINERY LTD.,1.0,0,mPCIeHS-BTWifi-WT-6218,WH01S-NTA,
2025/10/01,2025/10/29,SO-20251406,QTD_UIUC-250908,University of Illinois,1.0,0,mPCIeHS-BTWifi-WT-6218,WH01S-NTA,
