Document No.,Line No.,Sell-to Customer Name,External Document No.,Customer PO No.,No.,Ordering Model,Customer Ordering Model,Quantity,Cross-Reference No.,Customer Expectations Date,Produce Expected Finish Date,OP Estimated Shipping Date,Actual Completion Date,Actual Shipping Day,Description,Customer Ordering Desc.,Description 2,Model Name,Unit of Measure,Outstanding Quantity,Loan To Sales,Project Code,Shipment Date,Sales Promised Delivery Date,Create Prod Exp Completion,LastMod Prod Exp Completion,Remark,Remark2,EA Remark,PM Name,Item Status,HeaderStatus,Production Order No.,Starting Date,Material Receipt Date (PO),Orderig Description,Currency Code,Selling Price Excl. VAT,Amount,Amount Including VAT,Outstanding Amount (LCY),Ship-to Name,Customer Item No.,Qty on Purch. Order,Qty on Sales Order,Inventory,Qty on Componet Line,OP Lead Time,ReleasedDateOrigin,Warehouse Shipment No.,Assemble Option,Type,Location Code,Salesperson Code
LO25080011,10000,"Neousys Technology America, Inc.",,For NTA_CoastIPC,950-RS880500-A13,RGS-8805GC,RGS-8805GC,1.,,2025/9/3,2025/9/8,2025/9/10,2025/9/8,,"Rugged and Compact AMD EPYC 7003/7002 ""MILAN/ROME""","Rugged and Compact AMD EPYC 7003/7002 ""MILAN/ROME"" Server Supporting RTX A5000/A6000 GPU, Two x16 PCIe Slots,  10G/1G Ethernet and 8~48V DC Input","Server Supporting RTX A5000/A6000 GPU, Two x16 PC",RGS-8805GC(RW),PCS,1.,FALSE,,2025/9/10,2025/9/10,28/08/25 14:00:05,,TO生管:使用WH03庫存.,,,Chris. Ni 倪浩然,,Released,WR25081007,2025/9/4,,"Rugged and Compact AMD EPYC 7003/7002 ""MILAN/ROME"" Server Supporting RTX A5000/A6000 GPU, Two x16 PCIe Slots,  10G/1G Ethernet and 8~48V DC Input",USD,"2,107.00","2,107.00","2,107.00","64,127.00","Neousys Technology America, Inc.",,0.,1.,2.,0.,14,2025/8/27,PK25090085,No,Item,WH03,T048
SO25040359,10000,"Neousys Technology America, Inc.",NTA_KEYSIGHT_SO-20250572,POD-250574,R003,NRE,Engineer Service- COS,1.,,2025/11/7,2025/11/5,2025/11/7,,,NRE,Certification charges for Nuvo-9000-AUT models,,NRE,PCS,1.,FALSE,,2025/11/5,2025/11/7,23/09/25 09:50:49,,,,,,,Released,,,,NRE,USD,"14,000.00","14,000.00","14,000.00","454,300.00","Neousys Technology America, Inc.",,0.,0.,0.,0.,199,2025/4/22,,No,Resource,WH02,T048
SO25040360,10000,"Neousys Technology America, Inc.",NTA_KEYSIGHT_SO-20250573,POD-250575,R003,NRE,Engineer Service- COS,1.,,2025/11/7,2025/11/5,2025/11/7,,,NRE,Certification Charge for POC-410-AUT models,,NRE,PCS,1.,FALSE,,2025/11/5,2025/11/7,23/09/25 09:50:50,,,,,,,Released,,,,NRE,USD,"11,000.00","11,000.00","11,000.00","356,950.00","Neousys Technology America, Inc.",,0.,0.,0.,0.,199,2025/4/22,,No,Resource,WH02,T048
SO25050035,15000,"Neousys Technology America, Inc.",NTA_FIREFLY_SO-20250640,POD-250648,S51-SL1708FF-003,SEMIL-1708-i7OCG9-FF04,SEMIL-1708-i7OCG9-FF04,10.,,2025/11/19,2025/11/17,2025/11/19,,,"[DEF]SEMIL-1708-FF, including i7-9700TE, DDR4-16GB","SEMIL-1708-FF, including i7-9700TE, DDR4-16GB-32-SM and M.280-SSD-1TB-PCIe44-TLC5-PN",-32-SM and M.280-SSD-1TB-PCIe44-TLC5-PN,[DEF]SEMIL-1708-FF,PCS,10.,FALSE,,2025/11/19,2025/11/19,15/07/25 10:07:43,25/08/25 10:26:20,CR:8/25通知延後到11/19出貨. 5/21合併出貨9/30→10/1.,8/25:完工9/26->11/17(客戶延到11/19出貨),,TingYu Lai 賴婷妤,DEF,Released,WA25050180,2025/11/10,,"SEMIL-1708-FF, including i7-9700TE, DDR4-16GB-32-SM and M.280-SSD-1TB-PCIe44-TLC5-PN",USD,"2,149.00","21,490.00","21,490.00","661,892.00","Neousys Technology America, Inc.",,0.,30.,0.,0.,198,2025/5/5,,No,Item,WH22,T048
SO25050035,20000,"Neousys Technology America, Inc.",NTA_FIREFLY_SO-20250640,POD-250648,R10Z,CUSTOMER SERVICES,CUSTOMER SERVICES,10.,,2025/11/19,2025/11/17,2025/11/19,,,Customer Services,To產線/包裝：請協助貼上客製標籤，詳見SOP,,Customer Services,PCS,10.,FALSE,,2025/11/19,2025/11/19,07/05/25 15:08:44,25/08/25 10:27:58,,,,,,Released,,,2025/11/10,To產線/包裝：請協助貼上客製標籤，詳見SOP,USD,0.00,0.00,0.00,0.00,"Neousys Technology America, Inc.",,0.,0.,0.,0.,198,2025/5/5,,No,Resource,WH02,T048
SO25050035,30000,"Neousys Technology America, Inc.",NTA_FIREFLY_SO-20250640,POD-250648,R10Z,CUSTOMER SERVICES,CUSTOMER SERVICES,10.,,2025/11/19,2025/11/17,2025/11/19,,,Customer Services,To產線：須執行BIOS設定，請見SEMIL-1708-FF組裝SOP,,Customer Services,PCS,10.,FALSE,,2025/11/19,2025/11/19,07/05/25 15:08:44,25/08/25 10:27:58,,,,,,Released,,,2025/11/10,To產線：須執行BIOS設定，請見SEMIL-1708-FF組裝SOP,USD,0.00,0.00,0.00,0.00,"Neousys Technology America, Inc.",,0.,0.,0.,0.,198,2025/5/5,,No,Resource,WH02,T048
SO25050035,40000,"Neousys Technology America, Inc.",NTA_FIREFLY_SO-20250640,POD-250648,R10Z,CUSTOMER SERVICES,CUSTOMER SERVICES,10.,,2025/11/19,2025/11/17,2025/11/19,,,Customer Services,To產線：請協助將IGN模式調整至2,,Customer Services,PCS,10.,FALSE,,2025/11/19,2025/11/19,07/05/25 15:08:45,25/08/25 10:27:58,,,,,,Released,,,2025/11/10,To產線：請協助將IGN模式調整至2,USD,0.00,0.00,0.00,0.00,"Neousys Technology America, Inc.",,0.,0.,0.,0.,198,2025/5/5,,No,Resource,WH02,T048
SO25050035,50000,"Neousys Technology America, Inc.",NTA_FIREFLY_SO-20250640,POD-250648,R10Z,CUSTOMER SERVICES,CUSTOMER SERVICES,10.,,2025/11/19,2025/11/17,2025/11/19,,,Customer Services,To產線：請協助安裝Ubuntu 22.04 Server版本，並使用客供ISO檔,,Customer Services,PCS,10.,FALSE,,2025/11/19,2025/11/19,07/05/25 15:08:45,25/08/25 10:27:59,,,,,,Released,,,2025/11/10,To產線：請協助安裝Ubuntu 22.04 Server版本，並使用客供ISO檔,USD,0.00,0.00,0.00,0.00,"Neousys Technology America, Inc.",,0.,0.,0.,0.,198,2025/5/5,,No,Resource,WH02,T048
SO25050035,60000,"Neousys Technology America, Inc.",NTA_FIREFLY_SO-20250640,POD-250648,395-M1342189-004,Cbl-M12S4F-OW4-180CM1,Cbl-M12S4F-OW4-180CM1,10.,,2025/11/19,2025/11/17,2025/11/19,,,"[NR]Cable 180cm, M12 S-code 4P Female to Cord End","Cable 180cm, M12 S-Code Female 4P to Open Wire 4P, 亞佳","Terminal 4P, w/core*2, 18+20AWG, -20°C to +80°C, 亞",[NR]Cable M12 S-code 4P FML to Cord End Terminal 4P 180cm,PCS,10.,FALSE,,2025/11/19,2025/11/19,07/05/25 15:08:46,25/08/25 10:27:41,CR:8/25通知延後到11/19出貨. 5/21合併出貨9/30→10/1.,8/25:完工9/26->11/17(客戶延到11/19出貨),,,NR,Released,,,2025/11/10,"Cable 180cm, M12 S-Code Female 4P to Open Wire 4P, 亞佳",USD,10.00,100.00,100.00,"3,080.00","Neousys Technology America, Inc.",,0.,30.,30.,2.,198,2025/5/5,,No,Item,WH22,T048
SO25050035,70000,"Neousys Technology America, Inc.",NTA_FIREFLY_SO-20250640,POD-250648,R10Z,CUSTOMER SERVICES,CUSTOMER SERVICES,10.,,2025/11/19,2025/11/17,2025/11/19,,,Customer Services,To產線：請將機器與線材配對包裝,,Customer Services,PCS,10.,FALSE,,2025/11/19,2025/11/19,07/05/25 15:08:47,25/08/25 10:28:02,,,,,,Released,,,2025/11/10,To產線：請將機器與線材配對包裝,USD,0.00,0.00,0.00,0.00,"Neousys Technology America, Inc.",,0.,0.,0.,0.,198,2025/5/5,,No,Resource,WH02,T048
