,"Date","Num","P. O. #","Name","Source Name","Memo","Deliv Date","Qty","Rcv'd","Backordered","Amount","Item","Open Balance","Inventory Site"
"Inventory",,,,,,,,,,,,,,
"Accessory",,,,,,,,,,,,,,
"AccsyBx-6AntiVG-POC-551VTC",,,,,,,,,,,,,,
,"07/24/2025","POD-251046","SO-20251050","CoastIPC, Inc.","Neousys Technology Incorp.","AccsyBx-6AntiVG-POC-551VTC  Accessory box kit includes Anti-Vibrate Grommet*6,Screw*6 and pizza ...","10/03/2025",34,0,34,204.00,"Accessory:AccsyBx-6AntiVG-POC-551VTC",204.00,"Drop Ship"
,"07/24/2025","POD-251047","SO-20251051","CoastIPC, Inc.","Neousys Technology Incorp.","AccsyBx-6AntiVG-POC-551VTC  Accessory box kit includes Anti-Vibrate Grommet*6,Screw*6 and pizza ...","11/21/2025",24,0,24,144.00,"Accessory:AccsyBx-6AntiVG-POC-551VTC",144.00,"Drop Ship"
,"07/24/2025","POD-251048","SO-20251052","CoastIPC, Inc.","Neousys Technology Incorp.","AccsyBx-6AntiVG-POC-551VTC  Accessory box kit includes Anti-Vibrate Grommet*6,Screw*6 and pizza ...","12/19/2025",29,0,29,174.00,"Accessory:AccsyBx-6AntiVG-POC-551VTC",174.00,"Drop Ship"
"Total AccsyBx-6AntiVG-POC-551VTC",,,,,,,,87,0,87,522.00,,522.00,
"AccsyBx-Cardholder-9160GC-2000E",,,,,,,,,,,,,,
,"09/18/2025","POD-251338","SO-20251316","Neousys Technology Incorp.","Neousys Technology Incorp.","AccsyBx-Cardholder-9160GC-2000EAda  Nuvo-9160GC GPU bracket kit for RTX 2000E Ada.","10/01/2025",1,0,1,5.00,"Accessory:AccsyBx-Cardholder-9160GC-2000E",5.00,"WH01S-NTA"
"Total AccsyBx-Cardholder-9160GC-2000E",,,,,,,,1,0,1,5.00,,5.00,
"AccsyBx-FAN-NRU-100",,,,,,,,,,,,,,
,"09/08/2025","POD-251279","SO-20251262","Neousys Technology Incorp.","Neousys Technology Incorp.","AccsyBx-FAN-NRU-100  Fan assembly for NRU-100 series, includes fan, fan frame, fan filter, fan c...","09/24/2025",8,0,8,192.00,"Accessory:AccsyBx-FAN-NRU-100",192.00,"WH01S-NTA"
"Total AccsyBx-FAN-NRU-100",,,,,,,,8,0,8,192.00,,192.00,
"AccsyBx-FAN-Nuvo10208GC",,,,,,,,,,,,,,
,"09/15/2025","POD-251324","SO-20251307","CoastIPC, Inc.","Neousys Technology Incorp.","AccsyBx-FAN-Nuvo10208GC  Fan assembly for Nuvo-10208GC series, 92x92x25 mm. Industrial Computer ...","10/03/2025",6,0,6,240.00,"Accessory:AccsyBx-FAN-Nuvo10208GC",240.00,"Drop Ship"
"Total AccsyBx-FAN-Nuvo10208GC",,,,,,,,6,0,6,240.00,,240.00,
"AccsyBx-FAN-POC-545",,,,,,,,,,,,,,
,"09/11/2025","POD-251304","SO-20251297","CoastIPC, Inc.","Neousys Technology Incorp.","AccsyBx-FAN-POC-545  Accessory for POC-545 includes fan, fan frame, fan cable cover, and screw. ...","10/03/2025",6,0,6,144.00,"Accessory:AccsyBx-FAN-POC-545",144.00,"Drop Ship"
