Order Date,QB Num,P. O. #,Name,Deliv Date,Qty(+),Item,Inventory Site
2025/07/24,POD-251046,SO-20251050,Neousys Technology Incorp.,2025/10/03,34.0,AccsyBx-6AntiVG-POC-551VTC,Drop Ship
2025/07/24,POD-251047,SO-20251051,Neousys Technology Incorp.,2025/11/21,24.0,AccsyBx-6AntiVG-POC-551VTC,Drop Ship
2025/07/24,POD-251048,SO-20251052,Neousys Technology Incorp.,2025/12/19,29.0,AccsyBx-6AntiVG-POC-551VTC,Drop Ship
2025/09/18,POD-251338,SO-20251316,Neousys Technology Incorp.,2025/10/01,1.0,AccsyBx-Cardholder-9160GC-2000E,WH01S-NTA
2025/09/08,POD-251279,SO-20251262,Neousys Technology Incorp.,2025/09/24,8.0,AccsyBx-FAN-NRU-100,WH01S-NTA
2025/09/15,POD-251324,SO-20251307,Neousys Technology Incorp.,2025/10/03,6.0,AccsyBx-FAN-Nuvo10208GC,Drop Ship
2025/09/11,POD-251304,SO-20251297,Neousys Technology Incorp.,2025/10/03,6.0,AccsyBx-FAN-POC-545,Drop Ship
2025/09/17,POD-251333,SO-20251311,Neousys Technology Incorp.,2025/10/01,20.0,Ant-RP_SMAM-WiFi-108MM,WH01S-NTA
2025/09/30,POD-251383,,Neousys Technology Incorp.,2025/10/15,20.0,Ant-RP_SMAM-WiFi-108MM,WH01S-NTA
2025/08/15,POD-251164,SO-20251167,Neousys Technology Incorp.,2025/10/01,2.0,Ant-RP_SMAM-WiFi-196MM1,WH01S-NTA
2025/08/19,POD-251180,SO-20251175,Neousys Technology Incorp.,2025/09/17,40.0,Ant-RP_SMAM-WiFi-196MM1,WH01S-NTA
2025/08/19,POD-251181,SO-20251176,Neousys Technology Incorp.,2025/09/17,40.0,Ant-RP_SMAM-WiFi-196MM1,WH01S-NTA
2025/08/19,POD-251182,SO-20251177,Neousys Technology Incorp.,2025/09/24,40.0,Ant-RP_SMAM-WiFi-196MM1,WH01S-NTA
2025/08/19,POD-251183,SO-20251178,Neousys Technology Incorp.,2025/09/17,50.0,Ant-RP_SMAM-WiFi-196MM1,WH01S-NTA
2025/08/19,POD-251184,SO-20251179,Neousys Technology Incorp.,2025/09/24,40.0,Ant-RP_SMAM-WiFi-196MM1,WH01S-NTA
2025/08/19,POD-251180,SO-20251175,Neousys Technology Incorp.,2025/09/17,40.0,Ant-SMAM-LTE,WH01S-NTA
2025/08/19,POD-251181,SO-20251176,Neousys Technology Incorp.,2025/09/17,40.0,Ant-SMAM-LTE,WH01S-NTA
2025/08/19,POD-251182,SO-20251177,Neousys Technology Incorp.,2025/09/24,40.0,Ant-SMAM-LTE,WH01S-NTA
2025/08/19,POD-251183,SO-20251178,Neousys Technology Incorp.,2025/09/17,50.0,Ant-SMAM-LTE,WH01S-NTA
2025/08/19,POD-251184,SO-20251179,Neousys Technology Incorp.,2025/09/24,40.0,Ant-SMAM-LTE,WH01S-NTA
2025/07/25,POD-251059,SO-20251032,Neousys Technology Incorp.,2025/10/22,25.0,Cbl-DB9F-3DB9M-15CM2,WH01S-NTA
2025/07/25,POD-251060,,Neousys Technology Incorp.,2025/11/19,25.0,Cbl-DB9F-3DB9M-15CM2,WH01S-NTA
2025/08/15,POD-251164,SO-20251167,Neousys Technology Incorp.,2025/10/01,4.0,Cbl-IDC085F-DB9M-30CM,WH01S-NTA
2025/08/19,POD-251180,SO-20251175,Neousys Technology Incorp.,2025/09/17,20.0,Cbl-M12A5F-OT2-B-Red-Fuse-100CM,WH01S-NTA
2025/08/19,POD-251181,SO-20251176,Neousys Technology Incorp.,2025/09/17,20.0,Cbl-M12A5F-OT2-B-Red-Fuse-100CM,WH01S-NTA
