,Type,Date,Ship Date,Deliv Date,Terms,Due Date,Num,P. O. #,Name,Qty,Invoiced,Backordered,Amount,Item,Rep,Open Balance,Inventory Site
Inventory,,,,,,,,,,,,,,,,,
Accessory,,,,,,,,,,,,,,,,,
AccsyBx-Cardholder-10108GC-5080,,,,,,,,,,,,,,,,,
,Sales Order,09/04/2025,10/02/2025,,Prepay,09/04/2025,SO-20251257,DB02927,"Leidos, Inc. (MS)",1,0,1,20,Accessory:AccsyBx-Cardholder-10108GC-5080,A689,20,WH01S-NTA
Total AccsyBx-Cardholder-10108GC-5080,,,,,,,,,,1,0,1,20,,,20,
AccsyBx-Cardholder-9160GC-2000E,,,,,,,,,,,,,,,,,
,Sales Order,09/17/2025,10/15/2025,,Net 30,10/17/2025,SO-20251316,895-1485908HN,SILGAN WHITE CAP LLC,1,0,1,6,Accessory:AccsyBx-Cardholder-9160GC-2000E,A689,6,WH01S-NTA
Total AccsyBx-Cardholder-9160GC-2000E,,,,,,,,,,1,0,1,6,,,6,
AccsyBx-Chassis-N8108GC-QD-A6-N,,,,,,,,,,,,,,,,,
,Sales Order,03/05/2025,10/24/2025,,Net 30,04/04/2025,SO-20250326,PO208679,Noah Medical U.S.,5,0,5,1000,Accessory:AccsyBx-Chassis-N8108GC-QD-A6-N,A800,1000,WH01S-NTA
,Sales Order,03/05/2025,12/26/2025,,Net 30,04/04/2025,SO-20250327,PO208679,Noah Medical U.S.,5,0,5,1000,Accessory:AccsyBx-Chassis-N8108GC-QD-A6-N,A800,1000,WH01S-NTA
,Sales Order,03/05/2025,02/20/2026,,Net 30,04/04/2025,SO-20250328,PO208679,Noah Medical U.S.,5,0,5,1000,Accessory:AccsyBx-Chassis-N8108GC-QD-A6-N,A800,1000,WH01S-NTA
,Sales Order,03/05/2025,04/24/2026,,Net 30,04/04/2025,SO-20250329,PO208679,Noah Medical U.S.,3,0,3,600,Accessory:AccsyBx-Chassis-N8108GC-QD-A6-N,A800,600,WH01S-NTA
Total AccsyBx-Chassis-N8108GC-QD-A6-N,,,,,,,,,,18,0,18,3600,,,3600,
AccsyBx-FAN-NRU-100,,,,,,,,,,,,,,,,,
,Sales Order,09/05/2025,10/17/2025,,Prepay,09/05/2025,SO-20251262,PO18039,IRD- International Road Dynamics Inc.,4,0,4,120,Accessory:AccsyBx-FAN-NRU-100,A702,120,WH01S-NTA
,Sales Order,09/10/2025,10/24/2025,,Prepay,09/10/2025,SO-20251287,PO18173,IRD- International Road Dynamics Inc.,1,0,1,30,Accessory:AccsyBx-FAN-NRU-100,A702,30,WH01S-NTA
Total AccsyBx-FAN-NRU-100,,,,,,,,,,5,0,5,150,,,150,
AccsyBx-FAN-NRU-50,,,,,,,,,,,,,,,,,
,Sales Order,09/29/2025,12/31/2025,,Prepay,09/29/2025,SO-20251381,PO18348,IRD- International Road Dynamics Inc.,3,0,3,144,Accessory:AccsyBx-FAN-NRU-50,A702,144,WH01S-NTA
Total AccsyBx-FAN-NRU-50,,,,,,,,,,3,0,3,144,,,144,
AccsyBx-FAN-Nuvo10208GC,,,,,,,,,,,,,,,,,
