Order Date,Ship Date,QB Num,P. O. #,Name,Qty(+),Qty(-),Item,Inventory Site,Remark,Pre/Bare
2025/10/09,2025/12/31,SO-20251444,1829,"Alta Vision Systems, LLC",0,2.0,AccsyBx-Cardholder-10108GC-5080,WH01S-NTA,,Out
2025/10/13,2025/12/31,SO-20251459,1792-58-1,"LM3 Technologies, Inc.",0,1.0,AccsyBx-Cardholder-10108GC-5080,WH01S-NTA,,Out
2025/03/05,2025/10/24,SO-20250326,PO208679,Noah Medical U.S.,0,5.0,AccsyBx-Chassis-N8108GC-QD-A6-N,WH01S-NTA,,Out
2025/03/05,2025/12/26,SO-20250327,PO208679,Noah Medical U.S.,0,5.0,AccsyBx-Chassis-N8108GC-QD-A6-N,WH01S-NTA,,Out
2025/03/05,2026/02/20,SO-20250328,PO208679,Noah Medical U.S.,0,5.0,AccsyBx-Chassis-N8108GC-QD-A6-N,WH01S-NTA,,Out
2025/03/05,2026/04/24,SO-20250329,PO208679,Noah Medical U.S.,0,3.0,AccsyBx-Chassis-N8108GC-QD-A6-N,WH01S-NTA,,Out
2025/09/10,2025/10/24,SO-20251287,PO18173,IRD- International Road Dynamics Inc.,0,1.0,AccsyBx-FAN-NRU-100,WH01S-NTA,,Out
2025/10/01,2025/10/29,SO-20251410,PO18432,IRD- International Road Dynamics Inc.,0,3.0,AccsyBx-FAN-NRU-100,WH01S-NTA,,Out
2025/09/29,2025/10/31,SO-20251381,PO18348,IRD- International Road Dynamics Inc.,0,3.0,AccsyBx-FAN-NRU-50,WH01S-NTA,,Out
2025/10/03,2025/10/17,SO-20251419,982487,"Uponor, Inc.",0,1.0,AccsyBx-FAN-Nuvo10208GC,WH01S-NTA,,Out
2025/10/09,2025/12/31,SO-20251446,NE011,AeroVect Technologies Inc.,0,2.0,AccsyBx-FAN-Nuvo10208GC,WH01S-NTA,,Out
2025/10/08,2025/12/31,SO-20251440,58154,"INFLEXION POINT, LLC",0,11.0,AccsyBx-FAN-Nuvo9531_9501,WH01S-NTA,,Out
2024/03/13,2025/12/19,SO-20240315,X110992,Xanthon LLC,0,1.0,AccsyBx-FAN-POC-700,WH01S-NTA,,Out
2025/06/25,2025/08/06,SO-20250911,QTD_Rotor_250623,"Rotor Technologies, Inc.",0,1.0,Adapter-Active-DP-HDMI-BENFEI,WH01S-NTA,,Out
2025/08/19,2025/10/17,SO-20251175,612452,"Uber Technologies, Inc.",0,20.0,Adapter-Active-DP-HDMI-BENFEI,WH01S-NTA,,Out
2025/08/19,2025/10/24,SO-20251176,612452,"Uber Technologies, Inc.",0,20.0,Adapter-Active-DP-HDMI-BENFEI,WH01S-NTA,,Out
2025/08/19,2025/10/24,SO-20251177,612452,"Uber Technologies, Inc.",0,20.0,Adapter-Active-DP-HDMI-BENFEI,WH01S-NTA,,Out
2025/08/19,2025/11/14,SO-20251179,612452,"Uber Technologies, Inc.",0,20.0,Adapter-Active-DP-HDMI-BENFEI,WH01S-NTA,,Out
2025/08/19,2025/11/14,SO-20251178,612452,"Uber Technologies, Inc.",0,25.0,Adapter-Active-DP-HDMI-BENFEI,WH01S-NTA,,Out
2025/09/10,2025/10/24,SO-20251287,PO18173,IRD- International Road Dynamics Inc.,0,1.0,Adapter-Active-DP-HDMI-BENFEI,WH01S-NTA,,Out
2025/09/26,2025/11/04,SO-20251369,165320,"Northbay Networks, Inc.",0,4.0,Adapter-Active-DP-HDMI-BENFEI,WH01S-NTA,,Out
2025/09/29,2025/10/31,SO-20251381,PO18348,IRD- International Road Dynamics Inc.,0,3.0,Adapter-Active-DP-HDMI-BENFEI,WH01S-NTA,,Out
2025/10/01,2025/10/23,SO-20251402,PO15770,Aeva Inc.,0,1.0,Adapter-Active-DP-HDMI-BENFEI,WH01S-NTA,,Out
2025/10/01,2025/10/31,SO-20251408,QTD_Terabox_250930,Terabox SpA,0,1.0,Adapter-Active-DP-HDMI-BENFEI,WH01S-NTA,,Out
